PKS 0023-263, radec gaincal, 00:25:49.15625, -26:02:12.6168
PKS 0237-233, radec gaincal, 02:40:08.174510, -23:09:15.730850
PKS 0407-658, radec gaincal, 04:08:20.380, -65:45:09.08
PKS 0518+165 | *3C138, radec gaincal, 05:21:09.886021, 16:38:22.051220
PKS 0624-058 | *3C161, radec gaincal, 06:27:10.0960, -05:53:04.768
PKS 0741-063, radec gaincal, 07:44:21.6605, -06:29:35.888
PKS 0823-500, radec gaincal, 08:25:26.869, -50:10:38.49
PKS 1226+023 | *3C273, radec gaincal, 12:29:06.699729, 02:03:08.598190
PKS 1253-055 | *3C279, radec gaincal, 12:56:11.166560, -05:47:21.524580
PKS 1328+307 | *3C286, radec gaincal, 13:31:08.287984, 30:30:32.958850
PKS 1421-490, radec gaincal, 14:24:32.23734, -49:13:49.7437
PKS 1740-517, radec gaincal, 17:44:25.45534, -51:44:43.7611
PKS 1814-637, radec gaincal, 18:19:35.002381, -63:45:48.18906
PKS 1830-210, radec gaincal, 18:33:39.9150, -21:03:40.050
PKS 1921-293, radec gaincal, 19:24:51.055957, -29:14:30.121150
PKS 1934-638, radec gaincal, 19:39:25.026, -63:42:45.63
PKS 2223-052 | *3C446, radec gaincal, 22:25:47.259291, -04:57:01.390730
PKS 2230+114, radec gaincal, 22:32:36.408914, 11:43:50.904100
PKS 2251+158 | *3C454.3, radec gaincal, 22:53:57.747932, 16:08:53.560890
